更新时间,#genre#
2026-01-07 08:29:43,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
最新QQ群,#genre#
防失联QQ群,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
218425494,http://139.227.221.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0

央视,#genre#
CCTV15,http://183.164.63.181:5000/rtp/238.1.78.222:7648
CGTN,http://183.164.63.181:5000/rtp/238.1.78.50:6272
CCTV17,http://183.164.63.181:5000/rtp/238.1.78.178:7296
CCTV电视指南HD,http://183.164.63.181:5000/rtp/238.1.79.53:4560
CCTV央视文化精品HD,http://183.164.63.181:5000/rtp/238.1.79.54:4568
CCTV女性时尚HD,http://183.164.63.181:5000/rtp/238.1.79.55:4576
CCTV兵器科技HD,http://183.164.63.181:5000/rtp/238.1.79.56:4584
CCTV风云足球HD,http://183.164.63.181:5000/rtp/238.1.79.57:4592
CCTV世界地理HD,http://183.164.63.181:5000/rtp/238.1.79.60:4616
CCTV怀旧剧场HD,http://183.164.63.181:5000/rtp/238.1.79.61:4624
CCTV风云剧场HD,http://183.164.63.181:5000/rtp/238.1.79.62:4632
CCTV第一剧场HD,http://183.164.63.181:5000/rtp/238.1.79.63:4640
CCTV风云音乐HD,http://183.164.63.181:5000/rtp/238.1.79.64:4648
CCTV高尔夫网球HD,http://183.164.63.181:5000/rtp/238.1.79.58:4600
CCTV央视台球HD,http://183.164.63.181:5000/rtp/238.1.79.59:4608
CCTV5+,http://183.164.63.181:5000/rtp/238.1.78.237:7768
CCTV1,http://112.255.234.12:4000/rtp/239.253.254.77:8000
CCTV2,http://112.255.234.12:4000/rtp/239.253.254.232:8000
CCTV3,http://112.255.234.12:4000/rtp/239.253.254.191:8000
CCTV3,http://112.255.234.12:4000/rtp/239.253.254.4:8000
CCTV4,http://112.255.234.12:4000/rtp/239.253.254.111:8000
CCTV5,http://112.255.234.12:4000/rtp/239.253.254.192:8000
CCTV5,http://112.255.234.12:4000/rtp/239.253.254.6:8000
CCTV5+,http://112.255.234.12:4000/rtp/239.253.254.80:8000
CCTV6,http://112.255.234.12:4000/rtp/239.253.254.193:8000
CCTV6,http://112.255.234.12:4000/rtp/239.253.254.7:8000
CCTV7,http://112.255.234.12:4000/rtp/239.253.254.233:8000
CCTV8,http://112.255.234.12:4000/rtp/239.253.254.194:8000
CCTV8,http://112.255.234.12:4000/rtp/239.253.254.9:8000
CCTV9,http://112.255.234.12:4000/rtp/239.253.254.79:8000
CCTV10,http://112.255.234.12:4000/rtp/239.253.254.234:8000
